"Spanish","Picture","English","Audio","Ranking","tags","deck"
"juventud (nf)","<img src=""paste-212789859713025.jpg"" />","youth","[sound:google-f5ca2983-5e47eb28-cb81a044-5fe5914d-906f5987.mp3]","1311"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"leche (nf)","<img src=""paste-214207198920705.jpg"" />","milk","[sound:google-9051b6f9-85491624-0d4f0511-24e88aa7-31fa29d1.mp3]","1334"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"lista (nf)","<img src=""paste-215615948193793.jpg"" />","list, roster, roll","[sound:google-bfa0b3a5-2a0fb8c5-8261e3e7-8ab11bc5-c819c4a4.mp3]","1049"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"literatura (nf)","<img src=""paste-217028992434177.jpg"" />","literature","[sound:google-037f4cdf-d9b2a6f3-1af16f85-4baa099d-f130dc05.mp3]","1090"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"llamada (nf)","<img src=""paste-218437741707265.jpg"" />","call, knock","[sound:google-5f8139fc-26d5c2ca-3911e0b4-37c0c708-c2299278.mp3]","1022"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"lluvia (nf)","<img src=""paste-219846490980353.jpg"" />","rain","[sound:google-1d10f849-69c835f5-cb105e53-3e94bc11-00a3a047.mp3]","1217"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"mañana (adv)","<img src=""paste-221255240253441.jpg"" />","tomorrow (adv)","[sound:google-f4afaa09-d81c6e57-a0bb00a5-4e5a069c-274ae49a.mp3]","1235"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"marca (nf)","<img src=""paste-222672579461121.jpg"" />","mark, brand, trademark","[sound:google-8e76a927-3ecee834-cd555ef1-93715c13-67d57453.mp3]","1370"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"mirada (nf)","<img src=""paste-224081328734209.jpg"" />","gaze, look","[sound:google-e78f4270-12eee21f-2fbde5f1-d721e771-76a5e34b.mp3]","1197"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"misión (nf)","<img src=""paste-79134772428801.jpg"" />","mission, task","[sound:google-3bd5da6d-bfc6ce5d-cfde9720-e5cba9c6-b136fcd6.mp3]","1432"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"moda (nf)","<img src=""paste-226903122247681.jpg"" />","fashion, form","[sound:google-6c192383-cf218858-4fd402b9-28de3f7d-5072193f.mp3]","1180"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"moneda (nf)","<img src=""paste-228320461455361.jpg"" />","coins, currency","[sound:google-92972e8d-56517b7d-40c172c2-b3a39539-2a090c09.mp3]","1107"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"montaña (nf)","<img src=""paste-229729210728449.jpg"" />","mountain (nf)","[sound:google-a64ce711-b1c22872-8e066a1e-7ad752ad-ec32286e.mp3]","1212"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"niña (nf)","<img src=""paste-231137960001537.jpg"" />","child, young girl","[sound:google-3c644aba-cb2a9423-b09ff399-53d170f3-c92fb0ac.mp3]","1052"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"norma (nf)","<img src=""paste-127633543135233.jpg"" />","standard, pattern, norm","[sound:google-58347bd6-458ec540-54458364-596f8109-0b25d0b2.mp3]","1349"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"novela (nf)","<img src=""paste-233959753515009.jpg"" />","novel","[sound:google-0ce6bfdf-97e4386a-af81d637-fd8c7b1d-3ced8438.mp3]","1080"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"obligación (nf)","<img src=""paste-235377092722689.jpg"" />","obligation","[sound:google-a89f3d87-b9367db7-6c302e55-12c7c037-5ad862b7.mp3]","1040"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"oficina (nf)","<img src=""paste-236785841995777.jpg"" />","office","[sound:google-5719246b-4c24cc08-df3adbb1-f54a9627-5be02076.mp3]","1113"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"organización (nf)","<img src=""paste-238194591268865.jpg"" />","organization","[sound:google-34638ca3-873b4624-730f4f1b-2d583ab6-ea14ae37.mp3]","1243"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"página (nf)","<img src=""paste-239603340541953.jpg"" />","page","[sound:google-9d1b1b6f-b0999941-7fa35dc7-56fc04a7-09712b0a.mp3]","1135"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"participación (nf)","<img src=""paste-241012089815041.jpg"" />","participation, involvement","[sound:google-c3d34ee8-18bbaf97-ccce8c4f-40b2c6d3-02ab8571.mp3]","1438"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"partida (nf)","<img src=""paste-242433723990017.jpg"" />","game, match, departure","[sound:google-c34ce55f-86b13e7b-8b1b17b1-3961e496-38bc5bd6.mp3]","1165"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"pasión (nf)","<img src=""paste-243842473263105.jpg"" />","passion, desire","[sound:google-b35dc445-34d42a48-ce4da944-c5f11d3a-25af3dee.mp3]","1445"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"pérdida (nf)","<img src=""paste-245251222536193.jpg"" />","loss","[sound:google-3907515b-f5749a17-15c15bfa-4a9fe5cb-c6855eca.mp3]","1417"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"personalidad (nf)","<img src=""paste-246659971809281.jpg"" />","personality, celebrity","[sound:google-bbbf9f23-7b5af398-4a56c854-e211fcb2-1bb8a74b.mp3]","1421"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"perspectiva (nf)","<img src=""paste-248068721082369.jpg"" />","perspective","[sound:google-a68d16d3-f92b9efe-e215380b-1c7e88cb-bf060d70.mp3]","1066"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"pierna (nf)","<img src=""paste-249477470355457.jpg"" />","leg","[sound:google-319f3f92-d71ac168-26d7d8a5-0558eaaf-63a67a27.mp3]","1201"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"pintura (nf)","<img src=""paste-250890514595841.jpg"" />","painting, paint","[sound:google-e5620ec7-d1d23533-171f8f8d-c8bd0064-d3371851.mp3]","1097"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"plata (nf)","<img src=""paste-252299263868929.jpg"" />","silver, money","[sound:google-fd871ffb-987233d2-cd2ddbaa-57b00147-9aa64eb4.mp3]","1281"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"plaza (nf)","<img src=""paste-253708013142017.jpg"" />","square, marketplace","[sound:google-698da64e-d30a3d00-92ad10b4-fcac1b1d-56c742c8.mp3]","1020"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"prensa (nf)","<img src=""paste-255116762415105.jpg"" />","press","[sound:google-1f60a32d-c3e67e35-42ccf347-810ae10e-9dfd8b05.mp3]","1318"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"profesión (nf)","<img src=""paste-900551562756097.jpg"" />","profession, occupation","[sound:google-59ae7519-dbaeacce-5bd15f58-61278079-2daebcd5.mp3]","1206"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"profundidad (nf)","<img src=""paste-257942850895873.jpg"" />","depth, profundity","[sound:google-742ea715-c08df9f1-e98b68f9-537d099b-15bb9480.mp3]","1330"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"punta (nf)","<img src=""paste-259355895136257.jpg"" />","tip, point","[sound:google-6bbbf25f-68795c22-0a9c8fca-ac2bda63-53a527f0.mp3]","1427"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"raíz (nf)","<img src=""paste-260764644409345.jpg"" />","root","[sound:google-872f2a88-3f13b874-217ca798-c8e4e981-0aa77468.mp3]","1028"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"rama (nf)","<img src=""paste-93557272608769.jpg"" />","branch, bough, limb","[sound:google-ee1c675a-d5fe00b0-9fba97de-ff01ff7b-a74dcf9a.mp3]","1160"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"reacción (nf)","<img src=""paste-241725054386177.jpg"" />","reaction","[sound:google-ec204c57-e4999a57-ae5b28f6-1ece04b6-0026fb59.mp3]","1122"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"referencia (nf)","<img src=""paste-831879330660353.jpg"" />","reference, allusion","[sound:google-338185cc-cefe80d4-9047b58a-dba558c5-f31f0c9c.mp3]","1063"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"región (nf)","<img src=""paste-266408231436289.jpg"" />","region","[sound:google-d6278c59-64a8124a-d3ab0541-dea9a435-3cfe2bbf.mp3]","1050"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"regla (nf)","<img src=""paste-267821275676673.jpg"" />","rule, ruler, regulation","[sound:google-3f2272b9-9e162a26-ba5f366a-3f7612d0-3ffcc4b9.mp3]","1014"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"religión (nf)","<img src=""paste-269230024949761.jpg"" />","religion","[sound:google-01e985d9-52bf0e4a-93a35619-14d6dc06-73d76ba1.mp3]","1460"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"representación (nf)","<img src=""paste-270647364157441.jpg"" />","representation","[sound:google-31921e1a-3cc68af2-55feec4e-c39a9895-ceeebbc8.mp3]","1425"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"resistencia (nf)","<img src=""paste-272056113430529.jpg"" />","resistance, opposition","[sound:google-a127a05c-f21ef9c0-f1dc59ec-26484d82-f6036a2c.mp3]","1415"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"riqueza (nf)","<img src=""paste-273464862703617.jpg"" />","riches, wealth","[sound:google-bba3d276-f17ee21c-fec1cbe3-d17e7a19-30d0d04b.mp3]","1474"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"ropa (nf)","<img src=""paste-274873611976705.jpg"" />","clothes, clothing","[sound:google-5b20e352-e0c1d852-9c1f181b-b4b8b989-2d6deccb.mp3]","1285"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"rueda (nf)","<img src=""paste-276282361249793.jpg"" />","wheel","[sound:google-da709159-6ea4a154-02ecaf1a-a98aab06-26696c69.mp3]","1352"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"satisfacción (nf)","<img src=""paste-277695405490177.jpg"" />","satisfaction","[sound:google-cd7b2eaf-fb266c2b-2cc4e9f2-fdd1b059-4e8a7a82.mp3]","1299"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"señal (nf)","<img src=""paste-279112744697857.jpg"" />","sign, mark, token","[sound:google-cd4ea38b-aca763d1-0a758c46-80bdfdd4-f724ad6f.mp3]","1360"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"sensación (nf)","<img src=""paste-280521493970945.jpg"" />","sensation, feeling","[sound:google-f5a00dd4-c5300f7e-c09245cf-caa6601a-f1b9b910.mp3]","1023"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"silla (nf)","<img src=""paste-281930243244033.jpg"" />","chair, seat","[sound:google-571e30bb-b1bde1ec-916e4199-50ce642f-eb8dfb21.mp3]","1307"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"sombra (nf)","<img src=""paste-283338992517121.jpg"" />","shade, shadow","[sound:google-aa24d81e-778c4808-cba092fc-c9dab58e-241c78af.mp3]","1324"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"sorpresa (nf)","<img src=""paste-284747741790209.jpg"" />","surprise","[sound:google-8a72f3a8-94a68b61-ea9a8d2d-53b84c74-b84bbc66.mp3]","1264"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"suma (nf)","<img src=""paste-286160786030593.jpg"" />","sum, amount, summary","[sound:google-5607d5b7-62bf039b-3dfe2b97-66215d83-845f720f.mp3]","1271"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"superficie (nf)","<img src=""paste-287569535303681.jpg"" />","surface, area","[sound:google-5da0564b-84d861e8-3f8aa056-0cf0ac1c-3ad1a057.mp3]","1442"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"tarde (adv)","<img src=""paste-288978284576769.jpg"" />","late (adv)","[sound:google-4cab917c-fbaaba91-ae6c779d-5f166347-b3760054.mp3]","1046"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"técnica (nf)","<img src=""paste-290387033849857.jpg"" />","technique, skill","[sound:google-e6f36a66-34fa0dbd-266b8253-50b3fd34-2e95fcf9.mp3]","1187"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"televisión (nf)","<img src=""paste-291804373057537.jpg"" />","TV, television","[sound:google-e122d32e-0a629dec-abf563ff-5e853e78-c5df2b54.mp3]","1078"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"tendencia (nf)","<img src=""paste-293213122330625.jpg"" />","tendency, style","[sound:google-1023ef55-41e73fe9-56753000-183b2d2e-c107c4a4.mp3]","1347"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"unidad (nf)","<img src=""paste-533503657639937.jpg"" />","unit, unity","[sound:google-458d4f83-c8cb61ca-0740efd4-dea2c2b5-0db419f5.mp3]","1025"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"universidad (nf)","<img src=""paste-296034915844097.jpg"" />","university, college","[sound:google-96584e5b-947e35c0-cd52f3ee-5e2db294-59f7a273.mp3]","1473"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"velocidad (nf)","<img src=""paste-297443665117185.jpg"" />","speed, velocity [also rapidez]","[sound:google-07f5bae4-d2bc1409-d147852e-cfcc773e-8cf02a27.mp3]","1145"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"venta (nf)","<img src=""paste-298852414390273.jpg"" />","sale","[sound:google-e95c5982-796b9ab7-b742ffb8-ed15e9c1-96f91322.mp3]","1075"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"ventaja (nf)","<img src=""paste-300261163663361.jpg"" />","advantage, benefit","[sound:google-3d5f6390-7a28d3be-ee2e89f3-990ec86b-f7f9cd4d.mp3]","1226"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"ventana (nf)","<img src=""paste-301669912936449.jpg"" />","window","[sound:google-28f3accf-ae304e07-78536eef-2aa01d96-61eac473.mp3]","1265"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"violencia (nf)","<img src=""paste-303082957176833.jpg"" />","violence","[sound:google-b7812f41-ef8a8b03-13aa9305-6e441774-6f8d5166.mp3]","1190"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"virtud (nf)","<img src=""paste-304491706449921.jpg"" />","virtue, quality","[sound:google-b31e174d-cd1254ec-ba4832d5-d4eaabb8-e1140379.mp3]","1378"," 1500 nf ","Essential Spanish Vocabulary Top 5000"
"hambre (nf el)","<img src=""paste-305900455723009.jpg"" />","hunger, starvation","[sound:yandex-a2cc4f43-3d99918f-b883c832-fcd2ea0e-2bb0a750.mp3]","1204"," 1500 nf_el ","Essential Spanish Vocabulary Top 5000"
"acceso (nm)","<img src=""paste-307309204996097.jpg"" />","access, entry","[sound:yandex-8c951f53-5e7d0172-fbe9ac5f-8f4646fd-f11f34a1.mp3]","1315"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"accidente (nm)","<img src=""paste-308717954269185.jpg"" />","accident, irregularity","[sound:yandex-c1c7baa9-d8805d5c-baaa0c51-df683812-06d53d60.mp3]","1098"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"acontecimiento (nm)","<img src=""paste-530544425172993.jpg"" />","event, happening","[sound:yandex-b8d86186-e4b4e928-55399614-8c2c7f4c-d8fec7c3.mp3]","1125"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"agosto (nm)","<img src=""paste-34054795689985.jpg"" />","August","[sound:yandex-22132b58-8d923643-8da9f2d6-708d4180-e9679c30.mp3]","1244"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"alcance (nm)","<img src=""paste-334294484516865.jpg"" />","reach, scope","[sound:yandex-10f04df4-200e4500-b59af30f-9ed78231-544d32e3.mp3]","1083"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"alimento (nm)","<img src=""paste-338378998415361.jpg"" />","food, nourishment","[sound:yandex-e6bca709-9e1423c1-18a0ad49-ed09ca5f-d6362e8c.mp3]","1143"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"análisis (nm)","<img src=""paste-53961969106945 (1).jpg"" />","analysis","[sound:yandex-9d0df8ce-048a530c-16351695-b5e3a31f-b59ee0ef.mp3]","1148"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"ánimo (nm)","<img src=""paste-619033636372481.jpg"" />","zest, spirit, heart","[sound:google-fe45a8f8-16dd7343-f9d9c98c-34bd1fcf-00f07754.mp3]","1240"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"aparato (nm)","<img src=""paste-21629455302657.jpg"" />","apparatus, device","[sound:acapela-67b36fc8-4230fe6c-7f811e9c-da139b4b-425da0d6.mp3]","1168"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"argumento (nm)","<img src=""paste-26813480828929.jpg"" />","argument, plot","[sound:yandex-8b95ca25-7aeeb777-27add8f4-171bf3c8-c6cee77c.mp3]","1279"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"ataque (nm)","<img src=""paste-345968205627393.jpg"" />","attack, raid","[sound:yandex-145bd8f5-325826b5-e92c43ec-76c364af-1bee675d.mp3]","1157"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"avión (nm)","<img src=""paste-347355480064001.jpg"" />","plane, airplane, aircraft","[sound:yandex-d1a6f88d-373fc7a9-236d621f-bfe5c166-099b19ca.mp3]","1283"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"barco (nm)","<img src=""paste-348734164566017.jpg"" />","boat","[sound:yandex-8a97faf0-14739029-43d3bf19-ddc3bb5a-88a0a0d7.mp3]","1164"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"barrio (nm)","<img src=""paste-447896369496065.jpg"" />","neighborhood, district","[sound:yandex-ea783234-8d8a5694-6968a28d-af892690-a187d066.mp3]","1146"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"beneficio (nm)","<img src=""paste-351491533570049.jpg"" />","benefit, profit","[sound:yandex-b3ffdda2-914ab125-b7e47afa-90c45a37-2c59b39b.mp3]","1142"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"café (nm)","<img src=""paste-352870218072065.jpg"" />","coffee, café","[sound:yandex-47121757-97ed69c1-55b0b1a8-b863157c-dd0b3850.mp3]","1250"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"capítulo (nm)","<img src=""paste-1045893256052737.jpg"" />","chapter","[sound:yandex-8638d25b-90a943b9-a0d4376b-8b65fe47-1bc414d5.mp3]","1450"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"chico (nm)","<img src=""paste-355627587076097.jpg"" />","boy&nbsp;[also muchacho]","[sound:yandex-4bb52d3c-ab199b6b-67fad666-fb986a9e-15415bc0.mp3]","1079"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"cine (nm)","<img src=""paste-357010566545409.jpg"" />","cinema, US movie theater","[sound:yandex-1b9fca44-271015fb-bf35ca6c-444081db-e1b8f614.mp3]","1159"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"círculo (nm)","<img src=""paste-358389251047425.jpg"" />","circle, club","[sound:yandex-257b17d1-10ae6ed0-a72a47b4-c3535e32-c70fa998.mp3]","1222"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"coche (nm)","<img src=""paste-369199683731457.jpg"" />","car, carriage","[sound:yandex-e1840817-09ca661d-dd024130-e0d5af3e-b8fc8aea.mp3]","1131"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"colegio (nm)","<img src=""paste-437970700075009.jpg"" />","high school, college","[sound:yandex-4b69827d-3ba95798-8d52b0e5-bb2db7cc-2aefc62f.mp3]","1073"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"comentario (nm)","<img src=""paste-372682902208513.jpg"" />","remark, comment","[sound:yandex-07711d8f-f811abf7-2ca12e8d-42d4f217-a582a43e.mp3]","1030"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"comienzo (nm)","<img src=""paste-374061586710529.jpg"" />","start, beginning","[sound:yandex-3f4ff340-b1c6b68f-5f68e13f-f49532f2-ac91420f.mp3]","1162"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"comportamiento (nm)","<img src=""paste-460656717332481.jpg"" />","behavior, conduct","[sound:yandex-561a0877-e20e416c-84c505a6-d554bac2-35711183.mp3]","1343"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"compromiso (nm)","<img src=""paste-376818955714561.jpg"" />","compromise, engagement","[sound:yandex-c8481564-70971547-fbe45192-5fb55f7b-4dc5d33f.mp3]","1029"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"conflicto (nm)","<img src=""paste-378197640216577.jpg"" />","conflict","[sound:yandex-d2c62a79-f86f6012-c9f56737-99baf503-39b84715.mp3]","1282"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"consejo (nm)","<img src=""paste-379576324718593.jpg"" />","advice, council, counsel","[sound:yandex-11852749-bdf5b177-692b6c07-c65ef52f-4f554bd1.mp3]","1188"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"contenido (nm)","<img src=""paste-970366256152577.jpg"" />","contents, content","[sound:yandex-f26b1495-5c182464-f42fab17-0019f9ac-3f3e044f.mp3]","1038"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"criterio (nm)","<img src=""paste-361065015672833.jpg"" />","criterion","[sound:yandex-0ddff096-27fde91b-bc60e424-3dc66872-2884026a.mp3]","1292"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"cuento (nm)","<img src=""paste-383720968159233.jpg"" />","story, tale","[sound:yandex-4f2f0929-70a82968-d54f2255-e4e78725-d84802d5.mp3]","1357"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"daño (nm)","<img src=""paste-385769667559425.jpg"" />","harm, injury, damage","[sound:yandex-2789561f-bf69c2aa-2493020c-288b457b-ee6448e2.mp3]","1045"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"dedo (nm)","<img src=""paste-387148352061441.jpg"" />","finger, toe, digit","[sound:yandex-c710ec38-3ce3a8d6-4519dc19-0deb75fd-56bb75dd.mp3]","1248"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"defecto (nm)","<img src=""paste-388527036563457.jpg"" />","defect","[sound:yandex-24e0a841-c113ca0b-37e7456c-7e871837-6eec5e77.mp3]","1497"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"departamento (nm)","<img src=""paste-389905721065473.jpg"" />","department, apartment","[sound:yandex-9055a31d-5e3b1efb-cebbbc34-660925f9-7dec1b5b.mp3]","1462"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"diálogo (nm)","<img src=""paste-391288700534785.jpg"" />","dialogue, conversation","[sound:yandex-75e2dd4b-96e0d607-7d6c44ca-81825868-a2cf7328.mp3]","1251"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"diciembre (nm)","<img src=""paste-1003055252242433.jpg"" />","December","[sound:yandex-b4b2f2d8-9b3dc1aa-67572c66-be73945f-c5965aa4.mp3]","1341"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"discurso (nm)","<img src=""paste-394046069538817.jpg"" />","lecture, discourse, talk","[sound:yandex-12222aa6-af340eb1-5408bcca-d3726d79-97ab012e.mp3]","1254"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"documento (nm)","<img src=""paste-395424754040833.jpg"" />","document","[sound:yandex-9ae707fd-89492586-ce33ea27-bb46ddd3-527e8d3f.mp3]","1076"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"domingo (nm)","<img src=""paste-223480033312769.jpg"" />","Sunday","[sound:yandex-8e8697d6-3ac135ba-d868aebb-09e9d127-a2c862b1.mp3]","1121"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"dueño (nm)","<img src=""paste-398182123044865.jpg"" />","owner, landlord (m)","[sound:yandex-6677abb5-521567e6-6b39d228-e62a61b5-e862e6f3.mp3]","1093"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"ejercicio (nm)","<img src=""paste-399560807546881.jpg"" />","exercise, practice","[sound:yandex-60175312-1822746a-9b7da838-f4485426-6b36b3f7.mp3]","1242"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"ejército (nm)","<img src=""paste-400939492048897.jpg"" />","army","[sound:yandex-f59cfef2-90e1347e-f2760c1c-479dc7cb-c808b61b.mp3]","1218"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"empleado (nm)","<img src=""paste-402322471518209.jpg"" />","employee","[sound:yandex-6945aa9f-c8b25222-72f2b075-011abdd5-39e462ff.mp3]","1104"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"empleo (nm)","<img src=""paste-403701156020225.jpg"" />","work, job, occupation","[sound:yandex-7d1451ea-9e0ee192-a9eacb8b-d32af2cb-b31c2166.mp3]","1436"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"enemigo (nm)","<img src=""paste-405079840522241.jpg"" />","enemy","[sound:yandex-f4668670-e90261bb-5469e8e4-a82e1416-98056539.mp3]","1024"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"enero (nm)","<img src=""paste-207790517780481.jpg"" />","January","[sound:yandex-fe299f21-dc0ee199-de73eef2-bd2f0d7f-c58d2712.mp3]","1449"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"equilibrio (nm)","<img src=""paste-407837209526273.jpg"" />","balance","[sound:yandex-c9945ef8-90790a87-15f4b0b0-b5ef2938-7b7baa62.mp3]","1487"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"espectáculo (nm)","<img src=""paste-409215894028289.jpg"" />","spectacle, show","[sound:yandex-768eb2e1-2c0c33fb-00d2a5eb-15706c1d-6dc9ad7a.mp3]","1420"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"examen (nm)","<img src=""paste-199230647959553.jpg"" />","examination, exam","[sound:yandex-55cd6bde-050c0b02-7fa1f4a3-db5de140-bd5f6038.mp3]","1286"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"exceso (nm)","<img src=""paste-243339962089473.jpg"" />","excess","[sound:yandex-ce216a3e-e76a4d33-fe04c4ac-ea35d238-159a8735.mp3]","1495"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"experto (nm)","<img src=""paste-413356242501633.jpg"" />","expert","[sound:yandex-d3476051-cabb8951-604ae406-f729a817-708de40f.mp3]","1452"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"extranjero (nm)","<img src=""paste-414734927003649.jpg"" />","foreigner (nm)","[sound:yandex-7ecd81eb-d77bdb9a-ffbd6c07-efc31274-4d65e0ca.mp3]","1171"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"fracaso (nm)","<img src=""paste-416113611505665.jpg"" />","failure, collapse","[sound:yandex-ca37bc18-b204c92c-3778a68f-94bafa2f-9953de1e.mp3]","1451"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"frío (nm)","<img src=""paste-417492296007681.jpg"" />","cold (nm)","[sound:yandex-2ebb3b94-733670e1-4fe1b21a-fa4da361-bf25dda9.mp3]","1120"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"fruto (nm)","<img src=""paste-418870980509697.jpg"" />","fruit, result","[sound:yandex-f2a9f4f2-e432498a-ed2b5fd0-2b55f1fb-a4a9b630.mp3]","1490"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
"fuego (nm)","<img src=""paste-420249665011713.jpg"" />","fire, gunfire","[sound:yandex-66e92e89-b261389b-9a068a87-a5bdd17a-5c913bc6.mp3]","1346"," 1500 nm ","Essential Spanish Vocabulary Top 5000"
